Year,Round,Circuit,Driver,Team,SubSession,LapTime_s,GridPosition,Sector1_s,Sector2_s,Sector3_s,TyreLife,Compound,FreshTyre,SpeedI1,SpeedI2,SpeedFL,SpeedST,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,FP1_s,FP2_s,FP3_s,IsSprintWeekend,SubSession_ord,Wet
2022,1,BAHRAIN GRAND PRIX,PER,Red Bull Racing,Q2,91.008,4.0,29.165,39.097,22.746,2.0,SOFT,True,241.0,270.0,289.0,322.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.05,92.958,92.791,0,2,0
2022,1,BAHRAIN GRAND PRIX,HAM,Mercedes,Q2,91.048,5.0,29.1,39.038,22.91,2.0,SOFT,True,240.0,268.0,285.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.943,93.144,93.121,0,2,0
2022,1,BAHRAIN GRAND PRIX,RUS,Mercedes,Q2,91.252,9.0,29.197,39.104,22.951,2.0,SOFT,True,239.0,265.0,284.0,313.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.629,92.529,92.935,0,2,0
2022,1,BAHRAIN GRAND PRIX,MAG,Haas F1 Team,Q2,91.461,7.0,29.391,39.191,22.879,2.0,SOFT,True,241.0,271.0,287.0,316.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.804,93.183,93.437,0,2,0
2022,1,BAHRAIN GRAND PRIX,ALO,Alpine,Q2,91.621,8.0,29.306,39.305,23.01,2.0,SOFT,True,241.0,268.0,286.0,318.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.0,92.877,94.628,0,2,0
2022,1,BAHRAIN GRAND PRIX,GAS,Racing Bulls,Q2,91.635,10.0,29.253,39.335,23.047,2.0,SOFT,True,239.0,269.0,279.0,314.0,19.4,25.4,56.0,1013.7,0.5,0.0,94.193,93.621,94.176,0,2,0
2022,1,BAHRAIN GRAND PRIX,BOT,Kick Sauber,Q2,91.717,6.0,29.402,39.454,22.861,2.0,SOFT,True,240.0,268.0,285.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,,92.951,93.733,0,2,0
2022,1,BAHRAIN GRAND PRIX,OCO,Alpine,Q2,91.782,11.0,29.407,39.294,23.081,2.0,SOFT,True,240.0,269.0,287.0,320.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.151,93.36,94.957,0,2,0
2022,1,BAHRAIN GRAND PRIX,MSC,Haas F1 Team,Q2,91.998,12.0,29.538,39.43,23.03,2.0,SOFT,True,241.0,271.0,287.0,317.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.536,93.085,94.295,0,2,0
2022,1,BAHRAIN GRAND PRIX,NOR,McLaren,Q2,92.008,13.0,29.544,39.355,23.109,2.0,SOFT,True,237.0,267.0,283.0,313.0,19.4,25.4,56.0,1013.7,0.5,0.0,96.304,93.28,93.955,0,2,0
2022,1,BAHRAIN GRAND PRIX,ZHO,Kick Sauber,Q2,92.387,15.0,29.493,39.829,23.065,2.0,SOFT,True,241.0,268.0,286.0,315.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.053,93.953,93.88,0,2,0
2022,1,BAHRAIN GRAND PRIX,ALB,Williams,Q2,92.664,14.0,29.564,39.897,23.203,2.0,SOFT,True,240.0,271.0,287.0,313.0,19.4,25.4,56.0,1013.7,0.5,0.0,95.923,94.735,94.868,0,2,0
