year,Round,Circuit,Driver,Team,AirTemp_C,TrackTemp_C,Humidity_pct,Pressure_hPa,WindSpeed_ms,Rainfall,Wet,GridPosition,IsSprintWeekend,FP1_s_Delta_pct,FP2_s_Delta_pct,FP3_s_Delta_pct
2022,2,22,28,8,23.4,25.3,59.0,1014.5,3.0,0.0,0,4.0,0,0.001277927114088041,0.0015542775939782908,0.0003677494845935393
2022,2,22,30,4,23.4,25.3,59.0,1014.5,3.0,0.0,0,13.0,0,0.020226501564359036,0.017108155516575227,0.013495291692204809
2022,3,1,0,9,23.2,29.1,57.0,1017.4,1.1,0.0,0,16.0,0,0.03693957847780878,0.03714958596064742,0.023269335288243917
2022,3,1,1,0,23.2,29.1,57.0,1017.4,1.1,0.0,0,10.0,0,0.01783073954339275,0.007077920433538602,0.0019970423549932536
2022,3,1,5,4,23.2,29.1,57.0,1017.4,1.1,0.0,0,12.0,0,0.0180562864947498,0.013636708956924872,0.01126180214113264
2022,3,1,9,7,23.2,29.1,57.0,1017.4,1.1,0.0,0,11.0,0,0.02374508182342175,0.014738281546759878,0.01284174071312096
2022,3,1,11,6,23.2,29.1,57.0,1017.4,1.1,0.0,0,5.0,0,0.015299601533719315,0.0195370862771912,0.00984617718063117
2022,3,1,13,9,23.2,29.1,57.0,1017.4,1.1,0.0,0,19.0,0,0.05160013031601646,0.04215097875357705,0.024432170077227304
2022,3,1,15,2,23.2,29.1,57.0,1017.4,1.1,0.0,0,1.0,0,0.0071548505124927695,0.0,0.0016684151320195506
2022,3,1,16,3,23.2,29.1,57.0,1017.4,1.1,0.0,0,17.0,0,0.04235270531037779,0.028020461394312444,0.02411618236282975
2022,3,1,17,3,23.2,29.1,57.0,1017.4,1.1,0.0,0,15.0,0,0.056925544445279884,0.03793461470282876,0.019907226007052702
2022,3,1,18,5,23.2,29.1,57.0,1017.4,1.1,0.0,0,4.0,0,0.013432573991930466,0.014206487882701511,0.0
2022,3,1,19,0,23.2,29.1,57.0,1017.4,1.1,0.0,0,8.0,0,0.015011402651429811,0.010939755374914588,0.01375178533058627
2022,3,1,20,8,23.2,29.1,57.0,1017.4,1.1,0.0,0,3.0,0,0.00743051900859589,0.008609992656182822,0.0018706472692341233
2022,3,1,22,5,23.2,29.1,57.0,1017.4,1.1,0.0,0,7.0,0,0.016903490965591607,0.015510648535035183,0.0072803569397221
2022,3,1,23,6,23.2,29.1,57.0,1017.4,1.1,0.0,0,6.0,0,0.020687667593915198,0.015624604320190546,0.01237407889581252
2022,3,1,24,2,23.2,29.1,57.0,1017.4,1.1,0.0,0,9.0,0,0.0,0.005039378054648261,0.0038171315899236885
2022,3,1,26,1,23.2,29.1,57.0,1017.4,1.1,0.0,0,20.0,0,0.02585018670275421,0.02067664412874484,0.031838922102708535
2022,3,1,27,7,23.2,29.1,57.0,1017.4,1.1,0.0,0,13.0,0,0.018582562714582914,0.018308896148294618,0.012058091181414784
2022,3,1,28,8,23.2,29.1,57.0,1017.4,1.1,0.0,0,2.0,0,0.010274916672931953,0.0031021297070070726,0.008746539934527257
2022,3,1,29,1,23.2,29.1,57.0,1017.4,1.1,0.0,0,18.0,0,0.023243866375961757,0.012284809695372101,0.19496441978335877
2022,3,1,30,4,23.2,29.1,57.0,1017.4,1.1,0.0,0,14.0,0,0.02524872816580208,0.026399756894325103,0.021727315241983316
2022,4,11,0,9,12.5,14.4,84.0,997.7,1.8,0.0,0,20.0,1,0.07895796514619356,0.014271870319795618,0.025413861185642633
2022,4,11,1,0,12.5,14.4,84.0,997.7,1.8,0.0,0,5.0,1,0.04203485380640249,0.009023748694262469,0.020591808839163613
2022,4,11,5,4,12.5,14.4,84.0,997.7,1.8,0.0,0,8.0,1,0.058309657502069234,0.012284809695372101,0.015276160583202471
2022,4,11,9,7,12.5,14.4,84.0,997.7,1.8,0.0,0,17.0,1,0.0637793337956645,0.012358885938306247,0.020085556624310275
2022,4,11,11,6,12.5,14.4,84.0,997.7,1.8,0.0,0,13.0,1,0.07899152144247329,0.006733201605900183,0.02089556016807569
2022,4,11,13,9,12.5,14.4,84.0,997.7,1.8,0.0,0,18.0,1,0.1151652088320171,0.022729274953748716,0.030691540525489763
2022,4,11,15,2,12.5,14.4,84.0,997.7,1.8,0.0,0,2.0,1,0.0,0.0035616748681677043,0.0004050017718827074
2022,4,11,16,3,12.5,14.4,84.0,997.7,1.8,0.0,0,4.0,1,0.03397015726717514,0.0161470984305977,0.01955399179871414
2022,4,11,17,3,12.5,14.4,84.0,997.7,1.8,0.0,0,12.0,1,0.04011095948636494,0.01912984381489372,0.019680554852427385
2022,4,11,18,5,12.5,14.4,84.0,997.7,1.8,0.0,0,3.0,1,0.06823113576877468,0.05492278842644455,0.012884118868020057
2022,4,11,19,0,12.5,14.4,84.0,997.7,1.8,0.0,0,19.0,1,0.06731393033712893,0.021672099374504556,0.02509745355135934
2022,4,11,20,8,12.5,14.4,84.0,997.7,1.8,0.0,0,7.0,1,0.04037940985660275,0.0010194193085568681,0.0
2022,4,11,22,5,12.5,14.4,84.0,997.7,1.8,0.0,0,6.0,1,0.06960694391624347,0.012284809695372101,0.016655697868678206
2022,4,11,23,6,12.5,14.4,84.0,997.7,1.8,0.0,0,11.0,1,0.05436119997315496,0.0,0.02207259656760998
2022,4,11,24,2,12.5,14.4,84.0,997.7,1.8,0.0,0,10.0,1,0.009809623945772974,0.01008092427350645,0.0030248569837493587
2022,4,11,26,1,12.5,14.4,84.0,997.7,1.8,0.0,0,15.0,1,0.07417060021028613,0.021294536667631644,0.024502607198906404
2022,4,11,27,7,12.5,14.4,84.0,997.7,1.8,0.0,0,16.0,1,0.04707948368045461,0.011628931371685398,0.02400901128942446
2022,4,11,28,8,12.5,14.4,84.0,997.7,1.8,0.0,0,1.0,1,0.01638665801659922,0.011503077136061034,0.0017971953627296602
2022,4,11,29,1,12.5,14.4,84.0,997.7,1.8,0.0,0,9.0,1,0.044327867385517035,0.021370049209006224,0.025717612514554705
2022,4,11,30,4,12.5,14.4,84.0,997.7,1.8,0.0,0,14.0,1,0.09002035748640971,0.013101425928489762,0.013468990841666749
2022,5,20,0,9,33.2,50.8,40.0,1008.5,1.6,0.0,0,18.0,0,0.008298755186721993,0.01970246169583481,0.013255226789511016
2022,5,20,1,0,33.2,50.8,40.0,1008.5,1.6,0.0,0,11.0,0,0.0196052602691607,0.004825546487580305,0.008105953224663351
2022,5,20,5,4,33.2,50.8,40.0,1008.5,1.6,0.0,0,5.0,0,0.029363981646139292,0.012284809695372101,0.01750753012048196
2022,5,20,9,7,33.2,50.8,40.0,1008.5,1.6,0.0,0,7.0,0,0.004390875760170428,0.0067713313616046015,0.017684709425938985
2022,5,20,11,6,33.2,50.8,40.0,1008.5,1.6,0.0,0,6.0,0,0.00941842850556548,0.0026796237407992135,0.017562898653437263
